Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
1900,3028837.0,4,0,860,0,215.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,283.9373660583254,1.3206389118991877,1009612.3333333334,2794.8585533678324,1011724.0,1006443.0,3028837.0,1009612.3333333334,2794.8585533678765,1011724.0000000001,1006443.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,1.3206389118991877,0.0,215,215,215.0,0.0,0.0,1,0,0,0,0,0,0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,99950310.0,15,7,5059,13464,746.0,66.0,337.26666666666665,270.95162105508973,2082.0,1831.0,1923.4285714285713,88.67141054262669,185.3220865448041,0.22010937234711928,4759538.571428572,8130056.568808132,27102635.0,0.0,99950310.0,7139307.857142857,9131929.26979728,27102635.0,2442.0,72842255.0,12140375.833333334,5989923.528029634,20570171.0,5842001.0,0,0,0,0,300,140,0.15007457205485406,0.07003480029226522,66,2082,841.9545454545455,789.2954348973416,622987.2835497835,1,0,0,0,0,0,0,0.4666666666666667,841.9545454545455,0.0,0.0,0.0,0.0,0.0,0.0,501,501,8,20,11101837.5,1136522.12279942,11905480.0,10298195.0,12326577.5,7978170.83668504,18442912.0,664236.0
21027,90033765.0,4,0,2136,0,534.0,534.0,534.0,0.0,0.0,0.0,0.0,0.0,23.72443271699234,0.04442777662358116,30011255.0,6252.583226155411,30015427.0,30004066.0,90033765.0,30011255.0,6252.583226155411,30015427.0,30004066.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,0.04442777662358116,0.0,534,534,534.0,0.0,0.0,1,0,0,0,0,0,0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40004,1.0,1,1,2115,66,2115.0,2115.0,0.0,0.0,66.0,66.0,0.0,0.0,2181000000.0,2000000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,1000000.0,1000000.0,66,2115,1090.5,1448.8617946512359,2099200.5,1,0,0,0,0,0,0,1.0,1090.5,0.0,0.0,0.0,0.0,0.0,0.0,501,501,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,3032046.0,4,0,860,0,215.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,283.6368577521581,1.3192411988472472,1010682.0,4836.630955530926,1013852.0,1005115.0,3032046.0,1010682.0,4836.630955530955,1013852.0,1005115.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,1.3192411988472472,0.0,215,215,215.0,0.0,0.0,1,0,0,0,0,0,0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0.0,0.0,0.0,0.0,510908.0,711270.2259141739,1013852.0,7964.0
