Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
53,33479.0,2,2,150,166,75.0,75.0,75.0,0.0,91.0,75.0,83.0,11.313708498984761,9438.7526509155,119.4778816571582,11159.666666666666,18751.16194621905,32809.0,42.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,16,59.7389408285791,59.7389408285791,75,91,79.0,8.0,64.0,1,0,0,0,0,0,0,1.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,37934296.0,22,26,1305,1905,86.0,54.0,59.31818181818182,7.960535777831155,151.0,60.0,73.26923076923077,20.623399704816258,84.61999663839813,1.2653457441255795,807112.6808510638,3871302.6126736277,25747341.0,16.0,37934059.0,1806383.761904762,5707575.259238067,25747341.0,359.0,37745856.0,1509834.24,5265051.500144145,25791718.0,16.0,0,0,0,0,440,520,0.5799501327242239,0.6853956114013556,54,151,66.875,17.432697329163172,303.8989361702128,1,0,0,0,0,0,0,1.1818181818181819,66.875,0.0,0.0,0.0,32.0,4.0,170.2707304614337,65535,65535,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,389892.0,4,4,236,427,74.0,54.0,59.0,10.0,247.0,60.0,106.75,93.5,1700.4708996337447,20.518502559683192,55698.857142857145,94932.05571605511,195155.0,35.0,389643.0,129881.0,112294.31726049187,195218.0,216.0,194737.0,64912.333333333336,111998.46670974264,194237.0,183.0,0,0,0,0,80,80,10.259251279841596,10.259251279841596,54,247,82.875,66.64069434555093,4440.982142857143,1,0,0,0,0,0,0,1.0,82.875,0.0,0.0,0.0,207.0,4.0,1062.9721111036938,65535,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
