Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
1900,3025627.0,4,0,860,0,215.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,284.238605750147,1.3220400267448698,1008542.3333333334,439.38176263169294,1008926.0,1008063.0,3025627.0,1008542.3333333333,439.38176263174375,1008926.0,1008062.9999999999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,1.3220400267448698,0.0,215,215,215.0,0.0,0.0,1,0,0,0,0,0,0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21027,30020643.0,2,0,1010,0,505.0,505.0,505.0,0.0,0.0,0.0,0.0,0.0,33.64351656291972,0.06662082487706876,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,0.06662082487706876,0.0,505,505,505.0,0.0,0.0,1,0,0,0,0,0,0,0.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,231865.0,8,5,1640,2872,476.0,66.0,205.0,190.7698688397695,1145.0,66.0,574.4,513.5574943470302,19459.599335820414,56.06710801544002,19322.083333333332,43428.89676546195,151491.0,1.0,231865.0,33123.57142857143,55208.01545928255,151491.0,231.0,231634.0,57908.5,93046.87086087312,197361.0,6189.0,0,0,0,0,160,100,34.502835701809246,21.564272313630777,66,1145,347.0769230769231,379.6470864584769,144131.91025641025,1,0,0,0,0,0,0,0.625,347.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,64240,502,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,12927561.0,11,7,2537,12749,686.0,66.0,230.63636363636363,236.05858286758934,7306.0,66.0,1821.2857142857142,2549.8246158174434,1182.4349542810123,1.392374013938128,760444.7647058824,3111052.572426343,12833016.0,1.0,12927561.0,1292756.1,4054867.13799411,12833016.0,1.0,12883332.0,2147222.0,5237830.233423684,12838876.0,3.0,0,0,0,0,220,140,0.8508952307399671,0.5414787831981609,66,7306,849.2222222222222,1721.6673708785074,2964138.535947712,1,0,0,0,0,0,0,0.6363636363636364,849.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,64240,501,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
